iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
CPV,Africa,Cape Verde,2022/6/15,57464,202,103.714,402,0,0,102267.125,359.494,184.578,715.429,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,,,,
CYM,North America,Cayman Islands,2022/6/15,26325,439,62.714,28,0,0,395876.568,6601.702,943.1,421.065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,,,,
CAF,Africa,Central African Republic,2022/6/15,14649,0,0,113,0,0,2977.447,0,0,22.968,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,,,,,,,
TCD,Africa,Chad,2022/6/15,7420,0,0.286,193,0,0,438.664,0,0.017,11.41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,,,,
CHL,South America,Chile,2022/6/15,3844668,10648,10451.286,58135,16,18.571,200114.281,554.226,543.988,3025.916,0.833,0.967,,163,8.484,,,,,,,,,,,,,,,,58456795,17987276,17556820,23487410,64217,86632,304.27,93.62,91.38,122.25,4509,1300,0.007,,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,,,,
CHN,Asia,China,2022/6/15,886707,209,208.286,5226,0,0,613.971,0.145,0.144,3.619,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17,1444216102,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,,,,
COL,South America,Colombia,2022/6/15,6117847,,,139894,,,119335.739,,,2728.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,,,,
COM,Africa,Comoros,2022/6/15,8131,0,0.714,160,0,0,9151.832,0,0.804,180.088,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,,,,
COG,Africa,Congo,2022/6/15,24128,0,0,385,0,0,4265.145,0,0,68.057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,,,,
COK,Oceania,Cook Islands,2022/6/15,5727,7,2.143,1,0,0,325916.23,398.361,121.947,56.909,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17572,,,,,,,,,,,,,76.25,,,,,,,,
